bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,Manhattan,Brooklyn,Queens,Entire_home,Private_room,Shared_room,price
1.0,1,1,100,60,1,10,36,88,0,1,0,0,1,0,60
1.0,1,1,0,25,1,20,57,99,1,0,0,0,1,0,99
1.0,1,1,150,65,2,20,117,88,0,1,0,1,0,0,110
1.0,1,1,1000,75,2,50,6,96,0,1,0,1,0,0,135
1.0,1,1,150,25,1,20,130,87,1,0,0,0,1,0,85
1.0,1,1,450,50,1,0,15,95,0,1,0,0,1,0,75
1.0,0,1,900,75,1,0,53,95,1,0,0,1,0,0,139
1.0,1,1,300,75,2,50,7,90,1,0,0,1,0,0,250
0.0,1,3,0,0,1,0,107,98,1,0,0,0,1,0,130
1.0,1,1,200,125,1,0,3,93,0,1,0,1,0,0,90
1.5,1,1,1200,65,1,27,31,97,0,1,0,0,1,0,97
1.0,1,1,110,140,1,25,71,91,0,1,0,1,0,0,91
1.0,1,1,200,30,1,15,36,89,0,1,0,0,1,0,65
1.0,1,1,500,75,1,0,96,97,1,0,0,1,0,0,240
1.0,2,2,250,75,3,40,25,85,0,1,0,1,0,0,100
1.0,1,1,500,100,2,20,73,99,1,0,0,1,0,0,165
1.0,2,2,300,100,4,0,121,99,0,1,0,1,0,0,275
1.0,1,1,0,70,2,50,129,96,1,0,0,1,0,0,219
1.0,1,1,400,100,2,50,157,96,1,0,0,1,0,0,450
1.0,2,4,0,0,1,55,5,75,0,0,1,0,1,0,65
1.0,1,2,0,98,2,20,48,97,0,1,0,1,0,0,250
1.0,2,2,500,125,2,35,37,92,1,0,0,1,0,0,139
1.0,2,3,200,125,4,25,37,88,0,1,0,1,0,0,120
1.0,1,1,450,40,1,0,17,96,0,1,0,0,1,0,50
1.0,1,2,200,85,1,10,54,88,0,1,0,1,0,0,157
1.0,1,0,150,65,2,15,91,96,1,0,0,1,0,0,150
1.0,1,1,200,50,1,10,84,85,0,1,0,0,1,0,135
1.0,1,1,200,10,1,0,1,80,0,1,0,0,1,0,60
1.0,1,0,0,35,1,10,73,90,0,1,0,1,0,0,85
0.5,1,2,100,30,1,0,63,96,0,0,1,0,1,0,55
1.0,1,1,150,75,1,35,24,90,0,1,0,0,1,0,30
1.0,1,1,600,95,1,35,48,94,0,1,0,1,0,0,299
1.0,1,1,500,50,1,0,61,96,0,1,0,0,1,0,100
1.0,1,1,300,50,1,25,2,90,0,1,0,0,1,0,70
1.0,1,1,200,100,2,0,23,97,0,1,0,1,0,0,130
1.0,1,1,100,25,1,25,98,96,0,1,0,0,1,0,52
1.0,1,1,0,50,1,0,152,97,1,0,0,1,0,0,250
2.0,3,4,500,50,2,50,124,92,0,1,0,1,0,0,100
1.5,1,1,250,60,1,30,46,98,1,0,0,0,1,0,140
1.0,1,1,200,25,2,10,158,97,0,1,0,0,1,0,75
1.0,1,2,0,80,1,30,14,99,1,0,0,0,1,0,99
1.0,1,1,0,10,1,15,51,87,0,0,0,0,1,0,59
1.0,1,1,500,50,1,20,13,98,0,1,0,0,1,0,75
1.0,1,2,300,170,1,0,18,84,1,0,0,1,0,0,109
2.0,2,2,500,80,4,25,1,89,0,1,0,1,0,0,225
1.0,1,1,100,45,1,30,137,95,1,0,0,0,1,0,89
1.0,2,2,350,135,4,20,41,94,0,1,0,1,0,0,135
1.0,1,1,300,100,1,0,66,98,1,0,0,1,0,0,199
1.0,1,1,300,40,1,0,48,99,1,0,0,0,1,0,110
1.0,1,1,250,75,2,10,46,95,0,1,0,1,0,0,120
1.0,1,2,200,35,1,35,75,98,0,1,0,0,1,0,49
1.0,1,1,1500,65,2,35,25,100,1,0,0,1,0,0,135
1.5,2,1,1000,200,3,25,18,96,1,0,0,1,0,0,245
1.0,0,1,200,25,2,0,18,95,1,0,0,1,0,0,115
1.0,1,1,350,60,1,5,163,99,0,1,0,0,1,0,95
2.0,2,3,500,150,5,50,64,98,1,0,0,1,0,0,499
1.0,1,1,500,110,1,0,67,98,1,0,0,0,1,0,99
1.0,1,2,100,95,2,25,102,96,1,0,0,1,0,0,219
1.0,1,4,500,70,1,0,33,92,1,0,0,1,0,0,159
1.0,1,2,300,100,1,10,15,94,0,1,0,0,1,0,180
1.0,1,1,1000,80,1,50,13,87,1,0,0,1,0,0,106
2.0,2,2,1000,150,1,0,19,96,1,0,0,1,0,0,299
